"Title";"Saga";"Genre";"Synopsis"
"R-Type Delta";"R-Type";"shooter";"The Bydo Empire has returned to Earth with a vengeance. This time, they will not accept defeat so easily. Earth however, is ready for them... Three R-Class ships: the R-9, the R-13, and the prototype R-X, are your weapons in this war. Choose your ship according to your liking, blast off, and strike the Bydo Empire!"
"Double Dragon II - The Revenge";"Double Dragon";"brawler";"The lovely Marian was rescued from the clutches of the Black Warriors gang by Billy & Jimmy Lee in the first Double Dragon game, but now the gang has killed her in retaliation of their early defeat. The Dragons must now embark on a mission to avenge her death and defeat the Black Warriors for the second and final time."
"Lemmings";"Lemmings";"puzzle";"Your task is to rescue the Lemmings across 120 levels of fast-paced puzzling. These creatures simply walk blindly through the world in the hope of reaching safety at the end of the level - unfortunately these levels include steep drops, gaps in the ground, barriers and rivers amongst other hazards."
"WipEout";"WipEout";"racing";"""WipEout"" is a futuristic racing game set in the year 2052. Racing for one of four teams, the player competes in the F3600 Anti-Gravity Racing League on six tracks. Each team's hovercraft racer has different ratings in speed, acceleration and turning. In addition to high-speed racing, there is also shooting in the game, with different weapon pickups like rockets and mines available, useful for slowing one's opponents down. Shields can also be picked up and can block the weapons' effects."
"The Italian Job";"";"racing";"Based on the 1969 British film The Italian Job starring Michael Caine, this third-person mission-based racing game offers 16 missions, 50 levels, five game modes, two ""free ride"" levels, and an eight-player party mode. With a simple four-key control scheme, you'll race as Charlie Croker across London, Turin, and the Alps in the main event, unlocking missions as you go, with an eye on the prize of a four million dollar gold bullion heist at journey's end. Fifteen vehicles are available in the The Italian Job, including three classic Mini-Cooper S cars, 4x4s, and a motor coach."
"The Ninja Warriors";"Ninja Warriors";"action";"Take control of a robot Ninja which battle its way through the levels using Shuriken and knives. As the Ninja's take damage their classic Ninja garb is torn away to reveal robotic limbs, torso or head. When the damage reaches a critical level the Ninja Robot explodes scattering mechanical body parts."
"Rick Dangerous";"Rick Dangerous";"platforms";"You play Rick Dangerous, an Indiana Jones type who's on a quest to find the lost Coolu Amazon tribe. However, his plane crashes in the middle of a bunch of crazed Coolus. Hopefully he's up to the challenge of escaping. If he is, he will find himself in the pyramid of Egypt with no easy way past leaders and their minions, and then engulfed in a web of traps in a Nazi base."
"Speedball";"Speedball";"sports";"The original future sport game, Speedball is played out on a small court with five players on each team, making it more frantic than the more famous sequel. The ball must be thrown into the goal at your opponent's end. Any amount of physical contact can be made, and there are no illegal ways to get the ball or the goal."
"Xenon";"Xenon";"shooter";"In this game the player assumes the role of a space pilot named Darrian. One day, he receives a report from a nebula space station, from which he learns that nearby human colonies have been attacked by mysterious aliens known as Xenites. Darrian wastes no time, and sets off to protect the humans and stop the aliens."
"Log!cal";"";"puzzle";"Log!cal is a bizarre puzzle game in which you have to arrange colored balls (green, purple, blue or yellow) to form quartets in any of several locations on the game board. These locations are, in fact, balls you can spin, then send any of the balls in them through the connection path."
"Chip's Challenge";"";"puzzle";"Nerdy Chip desperately wants to join the ""Bit Busters"" computer club, led by Melinda the Mental Marvel. However, before she'll let him in, he must prove his intelligence by passing the initiation test. 149 increasingly difficult levels, including a few hidden ones, await Chip in this tile-based puzzle game. Use tools such as keys, and special shoes to bypass obstacles. Manipulate switches to and use dirt blocks to build bridges across waterways. Avoid enemy creatures, grab all the computer chips in the level, and hurry to the exit: On top of everything else, there's a time limit!"
"Cadaver";"";"adventure";"In the person of the thief Karadoc, the player sets out to raid the five stories of the castle Wulf. Legend has it that it’s filled with treasure. What the legend didn’t say is that the Castle is also filled with deadly traps, riddles and monsters. Surviving is not only a question of defending your life. Karadoc needs to explore the murky dungeons and eerie corridors to prove his wit in collecting and interacting with objects, putting them to the right use, mastering spells and solving tasks posed by the gods. Quick reflexes and jumping skill wouldn’t hurt either. The ultimate objective is to kill the necromancer, Dianos."
"Streets of Rage";"Streets of Rage";"brawler";"""Streets of Rage"" follows the story of three young police officers (Adam Hunter, Axel Stone and Blaze Fielding) in a city controlled by a criminal syndicate led by a ""Mr. X"" where crime is rampant, which leads the three heroes to make a pact to leave the force and topple the syndicate by themselves., "
"Blood Money";"";"shooter";"The player has 4 missions to take on, in each case trying to kill baddies for the money they have, which can be spent in the shop rooms to upgrade their craft. Energy is depleted by contact with enemies and the walls, although there are some baddies who simply hover on your ship and steal, rather than physically doing damage."
"Menace";"";"shooter";"Six ruthless dictators have collaborated to create the planet Draconia, which contains some of the most gruesome and harmful life-forms imaginable, all indulging in some rather unsavoury actions. Thus, you must go in your spaceship to destroy them all."
"Another World";"Another World";"action, adventure";"A young physics professor named Lester conducts a particle experiment. Suddenly, something goes wrong, a lightning strikes, and in a moment Lester finds himself in a strange alien world. Now he must fight for his life, first with his bare hands, then with a gun he finds. But what gives him courage is that he is not alone. One of the aliens who escapes from the prison together with him helps him on his dangerous quest. Friendship can overcome all the obstacles."
"P-47 Thunderbolt";"";"shooter";"The P-47 was one of the toughest planes in use in World War 2, and this side-scrolling shoot 'em up puts you in control of one as you take on hordes of Nazis. 16-bit versions have a simultaneous 2-player mode, as well as the ability to wrap-around the game with increased difficulty up to 4 times."
